number_of_images,model,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
10,yolov8n,2024-05-21T14:40:37,codecarbon,984d84a0-778a-4bcf-9b15-0bd041ef45ee,458.388773679733,0.0159966223071843,3.48975001694977E-05,42.5,97.697,93.879976272583,0.0054111565212408,0.0127591261355755,0.0119411764331819,0.0301114590899983,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8n,2024-05-21T14:56:34,codecarbon,984d84a0-778a-4bcf-9b15-0bd041ef45ee,1415.5255177021,0.0159966223071843,1.13008364082002E-05,42.5,97.697,93.879976272583,0.0054111565212408,0.0127591261355755,0.0119411764331819,0.0301114590899983,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8n,2024-05-21T15:16:32,codecarbon,984d84a0-778a-4bcf-9b15-0bd041ef45ee,2614.15617847443,0.0159966223071843,6.11922976863597E-06,42.5,97.697,93.879976272583,0.0054111565212408,0.0127591261355755,0.0119411764331819,0.0301114590899983,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8n,2024-05-21T15:57:53,codecarbon,984d84a0-778a-4bcf-9b15-0bd041ef45ee,5094.85707163811,0.0159966223071843,3.13975879642117E-06,42.5,97.697,93.879976272583,0.0054111565212408,0.0127591261355755,0.0119411764331819,0.0301114590899983,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8s,2024-05-21T16:19:56,codecarbon,1cb19aa9-4955-4e6f-96ea-427d445ebb93,494.929493904114,0.0173868340375663,3.51299210326205E-05,42.5,97.447,93.879976272583,0.0058426050707697,0.0139943254895618,0.0128914124469067,0.0327283430072383,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8s,2024-05-21T16:36:01,codecarbon,1cb19aa9-4955-4e6f-96ea-427d445ebb93,1459.68625354767,0.0173868340375663,1.19113501242536E-05,42.5,97.447,93.879976272583,0.0058426050707697,0.0139943254895618,0.0128914124469067,0.0327283430072383,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8s,2024-05-21T16:56:34,codecarbon,1cb19aa9-4955-4e6f-96ea-427d445ebb93,2693.09397435188,0.0173868340375663,6.45608144504153E-06,42.5,97.447,93.879976272583,0.0058426050707697,0.0139943254895618,0.0128914124469067,0.0327283430072383,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8s,2024-05-21T17:32:45,codecarbon,1cb19aa9-4955-4e6f-96ea-427d445ebb93,4864.13018703461,0.0173868340375663,3.57450014062352E-06,42.5,97.447,93.879976272583,0.0058426050707697,0.0139943254895618,0.0128914124469067,0.0327283430072383,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8m,2024-05-21T18:40:04,codecarbon,864f811f-6c18-43cb-bdd7-beb70978a51c,619.338770866394,0.0253533054755239,4.09360864653398E-05,42.5,98.378,93.879976272583,0.0073113619262973,0.0242703392221587,0.0161424374829601,0.0477241386314162,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8m,2024-05-21T18:58:35,codecarbon,864f811f-6c18-43cb-bdd7-beb70978a51c,1730.55231618881,0.0253533054755239,1.46504126100963E-05,42.5,98.378,93.879976272583,0.0073113619262973,0.0242703392221587,0.0161424374829601,0.0477241386314162,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8m,2024-05-21T19:23:51,codecarbon,864f811f-6c18-43cb-bdd7-beb70978a51c,3246.42021274567,0.0253533054755239,7.80961915404086E-06,42.5,98.378,93.879976272583,0.0073113619262973,0.0242703392221587,0.0161424374829601,0.0477241386314162,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8m,2024-05-21T20:12:11,codecarbon,864f811f-6c18-43cb-bdd7-beb70978a51c,6146.79027700424,0.0253533054755239,4.12464137102143E-06,42.5,98.378,93.879976272583,0.0073113619262973,0.0242703392221587,0.0161424374829601,0.0477241386314162,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8x,2024-05-21T20:40:13,codecarbon,c417de63-7406-42ec-96ef-a937e5aeb2cd,1005.10754919052,0.0439332965032146,4.37100452967416E-05,42.5,58.45,93.879976272583,0.0118650874114698,0.0446545126917906,0.0261788367880811,0.0826984368913417,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8x,2024-05-21T21:06:06,codecarbon,c417de63-7406-42ec-96ef-a937e5aeb2cd,2558.75749373436,0.0439332965032146,1.71697773668643E-05,42.5,58.45,93.879976272583,0.0118650874114698,0.0446545126917906,0.0261788367880811,0.0826984368913417,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8x,2024-05-21T21:47:14,codecarbon,c417de63-7406-42ec-96ef-a937e5aeb2cd,5026.00442790985,0.0439332965032146,8.74119733346217E-06,42.5,58.45,93.879976272583,0.0118650874114698,0.0446545126917906,0.0261788367880811,0.0826984368913417,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8x,2024-05-21T23:42:33,codecarbon,c417de63-7406-42ec-96ef-a937e5aeb2cd,11945.4860265255,0.0439332965032146,3.67781573773212E-06,42.5,58.45,93.879976272583,0.0118650874114698,0.0446545126917906,0.0261788367880811,0.0826984368913417,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8l,2024-05-22T08:27:42,codecarbon,1edb2991-e43f-437b-a876-cbeb00fa1f31,731.657732725143,0.0304582045962218,4.162903395113E-05,42.5,98.979,93.879976272583,0.0086372810179988,0.0296266962367369,0.0190694375150828,0.0573334147698186,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8l,2024-05-22T08:49:27,codecarbon,1edb2991-e43f-437b-a876-cbeb00fa1f31,2036.28059434891,0.0304582045962218,1.49577640138346E-05,42.5,98.979,93.879976272583,0.0086372810179988,0.0296266962367369,0.0190694375150828,0.0573334147698186,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8l,2024-05-22T09:21:43,codecarbon,1edb2991-e43f-437b-a876-cbeb00fa1f31,3972.74513936043,0.0304582045962218,7.66679047554641E-06,42.5,98.979,93.879976272583,0.0086372810179988,0.0296266962367369,0.0190694375150828,0.0573334147698186,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8l,2024-05-22T10:09:15,codecarbon,1edb2991-e43f-437b-a876-cbeb00fa1f31,6824.52941250801,0.0304582045962218,4.46304832980835E-06,42.5,98.979,93.879976272583,0.00863728101799886,0.0296266962367369,0.0190694375150828,0.0573334147698186,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
